1,0,141.86,198.11,191.67,0,2.6441,2.8281,2.3085
0,2,0,0,226.5,0,3.0609,2.8627,2.8782
3,0,0,0,0,168.23,3.009,3.2878,2.7806
4,0,0,0,0,92.1,1.9087,2.1846,1.639
5,0,0,0,0,121.73,1.8994,2.1153,1.914
6,0,0,0,178.17,0,2.087,2.2198,2.1486
7,0,0,0,211.97,0,2.6663,2.7111,2.5417
8,0,0,0,0,151.97,2.3876,2.5489,2.4886
9,9,0,0,0,127.57,2.5839,2.5963,2.7433
0,0,0,0,210.67,0,2.5608,2.1429,2.0341
0,0,0,0,0,162,2.6104,2.3081,2.2815
0,12,0,0,210.33,0,2.8775,2.5593,2.9654
0,0,0,0,0,201.73,3.1741,2.917,2.1429
0,14,0,0,0,174.43,2.9025,2.5139,2.6842
0,15,0,0,232.37,0,3.7556,3.2669,3.4288
16,16,0,0,262.13,0,2.9824,3.1152,3.1434
17,17,0,0,0,130.1,2.0475,2.1324,2.4465
0,19,0,0,0,111.8,1.9464,1.8157,1.8559
0,20,0,0,0,151.93,2.6984,2.1033,2.6705
0,21,0,0,146.17,0,2.0926,1.8529,2.0286
22,0,0,0,185.5,0,2.7822,2.8193,2.643
23,23,0,0,0,108.67,1.875,1.9173,1.9472
0,0,0,0,242.67,0,3.5613,3.307,2.7233
0,0,0,0,142.07,0,2.2249,2.1553,1.9246
0,0,0,0,135.17,0,2.7037,2.1616,1.9613
